Rail Point (m),Rail spacing outer to outer (m)
0,0.0153
0.01,0.0153
0.02,0.0136
0.03,0.0138
0.04,0.0139
0.05,0.0134
0.06,0.0131
0.07,0.0134
0.08,0.0135
0.09,0.0133
0.1,0.0137
0.11,0.0137
0.12,0.0135
0.13,0.0137
0.14,0.0134
0.15,0.0135
0.16,0.014
0.17,0.0141
0.18,0.0143
0.19,0.0146
0.2,0.0148
0.21,0.015
0.22,0.0152
