Position (cm),Magnetic Field (T)
0.00,-0.0032
0.01,-0.0117
0.02,-0.0258
0.03,-0.0289
0.04,-0.0271
0.05,-0.0256
0.06,-0.0196
0.07,-0.0232
0.08,-0.0401
0.09,-0.0586
0.10,-0.0676
0.11,-0.0612
0.12,-0.049
0.13,-0.0286
0.14,-0.0202
0.15,-0.0188
0.16,-0.0227
0.17,-0.0228
0.18,-0.0266
0.19,-0.0328
0.20,-0.0303
0.21,-0.0404
0.22,-0.039
