position_m,B_tesla
0.00,0.035
0.01,0.038
0.02,0.042
0.03,0.048
0.04,0.055
0.05,0.063
0.06,0.072
0.07,0.082
0.08,0.092
0.09,0.103
0.10,0.113
0.11,0.121
0.12,0.126
0.13,0.129
0.14,0.130
0.15,0.130
0.16,0.129
0.17,0.127
0.18,0.122
0.19,0.115
0.20,0.105
0.21,0.095
0.22,0.084
0.23,0.073
0.24,0.063
0.25,0.054
0.26,0.047
0.27,0.041
0.28,0.037
0.29,0.034
0.30,0.032
