position_m,spacing_m
0.00,0.0120
0.01,0.0121
0.02,0.0123
0.03,0.0126
0.04,0.0130
0.05,0.0135
0.06,0.0141
0.07,0.0147
0.08,0.0154
0.09,0.0160
0.10,0.0166
0.11,0.0171
0.12,0.0175
0.13,0.0178
0.14,0.0180
0.15,0.0180
0.16,0.0179
0.17,0.0177
0.18,0.0174
0.19,0.0170
0.20,0.0165
0.21,0.0159
0.22,0.0153
0.23,0.0147
0.24,0.0141
0.25,0.0136
0.26,0.0132
0.27,0.0128
0.28,0.0125
0.29,0.0122
0.30,0.0120
